tower,stimulus,a,b,class,probability
1,1,0,1,"[0,14.3]",0
3,2,0,1,"[0,14.3]",0
4,3,0,2,"[0,14.3]",0
6,4,0,1,"[0,14.3]",0
8,5,0,2,"[0,14.3]",0
10,6,0,4,"[0,14.3]",8
11,7,0,6,"(14.3,28.6]",25
12,8,2,0,"(14.3,28.6]",25
13,9,2,10,"(14.3,28.6]",25
17,10,0,2,"(14.3,28.6]",20
18,11,0,4,"(14.3,28.6]",19
20,12,3,6,"(14.3,28.6]",27
21,13,2,5,"(28.6,42.9]",40
22,14,0,8,"(28.6,42.9]",30
24,15,0,2,"(28.6,42.9]",30
25,16,1,0,"(28.6,42.9]",39
27,17,0,2,"(28.6,42.9]",30
28,18,0,7,"(28.6,42.9]",30
31,19,0,10,"(42.9,57.1]",44
32,20,2,11,"(42.9,57.1]",48
33,21,0,13,"(42.9,57.1]",51
34,22,0,11,"(42.9,57.1]",52
37,23,4,10,"(42.9,57.1]",49
39,24,2,1,"(42.9,57.1]",48
41,25,2,0,"(57.1,71.4]",63
42,26,0,12,"(57.1,71.4]",63
43,27,0,11,"(57.1,71.4]",62
45,28,1,7,"(57.1,71.4]",71
48,29,0,13,"(57.1,71.4]",69
49,30,0,2,"(57.1,71.4]",68
51,31,0,1,"(71.4,85.7]",79
52,32,1,13,"(71.4,85.7]",72
53,33,1,2,"(71.4,85.7]",78
54,34,5,4,"(71.4,85.7]",85
56,35,0,5,"(71.4,85.7]",81
57,36,3,0,"(71.4,85.7]",80
61,37,0,1,"(85.7,100]",87
63,38,1,10,"(85.7,100]",86
64,39,0,1,"(85.7,100]",97
65,40,0,8,"(85.7,100]",97
67,41,0,3,"(85.7,100]",86
68,42,0,6,"(85.7,100]",100
9,43,0,1,catch trial,0
